params,startmove,response,score
36,0.588,-0.156,1.2598281828965132
36,0.707,-0.156,1.2601332804651109
36,0.809,-0.156,1.2787999705862387
36,0.891,-0.156,1.27881268636211
36,0.951,-0.156,1.2797199793986285
36,0.988,-0.156,1.2798891573557776
36,1.0,-0.156,1.2806971024291312
36,-1.0,0.0,1.2854506918891675
36,-0.988,0.0,1.2855545070294332
36,-0.951,0.0,1.2861863596641476
36,-0.891,0.0,1.2865134720334155
36,-0.809,0.0,1.2869295780062082
36,-0.707,0.0,1.287299859089356
36,-0.588,0.0,1.2878921019976195
36,-0.454,0.0,1.2864499719264477
36,-0.309,0.0,1.2884906033518926
36,-0.156,0.0,1.2869881891630444
36,0.0,0.0,1.2887877023722694
36,0.156,0.0,1.2899786127359325
36,0.309,0.0,1.2818560579006189
36,0.454,0.0,1.2824488635970122
36,0.588,0.0,1.2645713452630072
36,0.707,0.0,1.2654418179069122
36,0.809,0.0,1.2804971085660721
36,0.891,0.0,1.2802683808640092
36,0.951,0.0,1.2812938147018553
36,0.988,0.0,1.2808885573754014
36,1.0,0.0,1.2816862943191054
36,-1.0,0.156,1.284308824480044
36,-0.988,0.156,1.2835864334436342
36,-0.951,0.156,1.2845783633744574
36,-0.891,0.156,1.2851037885062357
36,-0.809,0.156,1.2853355045918464
36,-0.707,0.156,1.2827191575252348
36,-0.588,0.156,1.2841347125580436
36,-0.454,0.156,1.2817559843848596
36,-0.309,0.156,1.2833568790929928
36,-0.156,0.156,1.2814226986829005
36,0.0,0.156,1.2849992300058077
36,0.156,0.156,1.2859962364048354
36,0.309,0.156,1.281302073251783
36,0.454,0.156,1.283723338429635
36,0.588,0.156,1.2671053084777224
36,0.707,0.156,1.2687900281960134
36,0.809,0.156,1.2812705311064019
36,0.891,0.156,1.2823432149038307
36,0.951,0.156,1.2820399893558356
36,0.988,0.156,1.2826516321808779
36,1.0,0.156,1.2823064274557023
36,-1.0,0.309,1.2817254245967569
36,-0.988,0.309,1.2821331647922074
36,-0.951,0.309,1.2822050606540198
36,-0.891,0.309,1.2834142422513006
36,-0.809,0.309,1.2831163587505328
36,-0.707,0.309,1.27971911216594
36,-0.588,0.309,1.2814589326061514
36,-0.454,0.309,1.2768137805622282
36,-0.309,0.309,1.2776539183378341
36,-0.156,0.309,1.2768322264785805
36,0.0,0.309,1.2814602536386799
36,0.156,0.309,1.2830772146480778
36,0.309,0.309,1.2820976458033444
36,0.454,0.309,1.2834842381447584
36,0.588,0.309,1.2716832341337294
36,0.707,0.309,1.272701384284932
36,0.809,0.309,1.281665204802695
36,0.891,0.309,1.2830221767752854
36,0.951,0.309,1.2829746185753985
36,0.988,0.309,1.2836537452688825
36,1.0,0.309,1.2834081709149796
36,-1.0,0.454,1.279843761000752
36,-0.988,0.454,1.278558317076558
36,-0.951,0.454,1.2797045264597375
36,-0.891,0.454,1.2803774824493448
36,-0.809,0.454,1.2812653765165378
36,-0.707,0.454,1.275632130486006
36,-0.588,0.454,1.277164807960404
36,-0.454,0.454,1.2706379279874191
36,-0.309,0.454,1.2725033567187325
36,-0.156,0.454,1.2706432146893385
36,0.0,0.454,1.2773995162273757
36,0.156,0.454,1.278830802060555
36,0.309,0.454,1.28287770674015
36,0.454,0.454,1.2846578015901435
36,0.588,0.454,1.2758097613465251
36,0.707,0.454,1.2768749423791084
36,0.809,0.454,1.2821814307056394
36,0.891,0.454,1.2836042176150653
36,0.951,0.454,1.2847788821615156
36,0.988,0.454,1.2852452060220265
36,1.0,0.454,1.2844389948396817
36,-1.0,0.588,1.276180850382951
36,-0.988,0.588,1.2759664060163887
36,-0.951,0.588,1.2763776624559509
36,-0.891,0.588,1.2772010108417935
36,-0.809,0.588,1.2788411693013364
36,-0.707,0.588,1.2716862776142375
36,-0.588,0.588,1.2736466565344444
36,-0.454,0.588,1.265545378496597
36,-0.309,0.588,1.2668105225684905
36,-0.156,0.588,1.2649090198632598
36,0.0,0.588,1.272529334773054
36,0.156,0.588,1.2749359024021816
36,0.309,0.588,1.2836197981725161
36,0.454,0.588,1.2849558678692754
36,0.588,0.588,1.280001398764511
36,0.707,0.588,1.2810150206627904
36,0.809,0.588,1.2837123022306378
36,0.891,0.588,1.2852956663279462
36,0.951,0.588,1.2852365694175696
36,0.988,0.588,1.2856879828598773
36,1.0,0.588,1.2855826498452465
36,-1.0,0.707,1.2730585754614516
36,-0.988,0.707,1.2728846410417949
36,-0.951,0.707,1.2741997002010992
36,-0.891,0.707,1.273815318984729
36,-0.809,0.707,1.274320489138889
36,-0.707,0.707,1.267543854399454
36,-0.588,0.707,1.268948309358786
36,-0.454,0.707,1.259169526317332
36,-0.309,0.707,1.2609652496169832
36,-0.156,0.707,1.2601718794713341
36,0.0,0.707,1.2680308654495516
36,0.156,0.707,1.2695687218863294
36,0.309,0.707,1.2836300904392632
36,0.454,0.707,1.28579008147661
36,0.588,0.707,1.2837809622632137
36,0.707,0.707,1.2856187168744453
36,0.809,0.707,1.2846361306561633
36,0.891,0.707,1.2862686866035309
36,0.951,0.707,1.2858196786230274
36,0.988,0.707,1.2859925532569505
36,1.0,0.707,1.2854695608016777
36,-1.0,0.809,1.2691393349360303
36,-0.988,0.809,1.2692045995049563
36,-0.951,0.809,1.270427081672997
36,-0.891,0.809,1.2707013342515676
36,-0.809,0.809,1.2711550230637518
36,-0.707,0.809,1.264378441455298
36,-0.588,0.809,1.265088302567907
36,-0.454,0.809,1.254021080603492
36,-0.309,0.809,1.254768506810621
36,-0.156,0.809,1.2537915253243999
36,0.0,0.809,1.2640557617212174
36,0.156,0.809,1.2657493253625403
36,0.309,0.809,1.2844831134720829
36,0.454,0.809,1.2854826783853115
36,0.588,0.809,1.2862262032580583
36,0.707,0.809,1.2877436396212527
36,0.809,0.809,1.28434501457573
36,0.891,0.809,1.285877259088631
36,0.951,0.809,1.2866326309129519
36,0.988,0.809,1.2874475502817122
36,1.0,0.809,1.28596958267613
36,-1.0,0.891,1.2668719205213916
36,-0.988,0.891,1.2664764668812474
36,-0.951,0.891,1.2675069664788334
36,-0.891,0.891,1.2671142641820419
36,-0.809,0.891,1.2686735519426335
36,-0.707,0.891,1.2598010332645218
36,-0.588,0.891,1.2612019606119251
36,-0.454,0.891,1.2486637405224221
36,-0.309,0.891,1.2503511420430231
36,-0.156,0.891,1.2484017087335215
