iteration,startmove,response,score
0,-1.0,0.454,1.2398315672860885
0,-0.988,0.454,1.238545371408554
0,-0.951,0.454,1.2387995784809553
0,-0.891,0.454,1.2391854045351418
0,-0.809,0.454,1.241414075548502
0,-0.707,0.454,1.240993141464166
0,-0.588,0.454,1.2400219596796
0,-0.454,0.454,1.2397361499243729
0,-0.309,0.454,1.240830275177046
0,-0.156,0.454,1.2417878502431088
0,0.0,0.454,1.2428931398365437
0,0.156,0.454,1.2444679323086754
0,0.309,0.454,1.247336893678954
0,0.454,0.454,1.244803270144378
0,0.588,0.454,1.2433317963232084
0,0.707,0.454,1.247153602693783
0,0.809,0.454,1.2442504767541709
0,0.891,0.454,1.2438126996020413
0,0.951,0.454,1.2455778993546445
0,0.988,0.454,1.2483556760567907
0,1.0,0.454,1.2480113208735215
0,-1.0,0.588,1.236243017749212
0,-0.988,0.588,1.2353059095318881
0,-0.951,0.588,1.2348276733148067
0,-0.891,0.588,1.2393476230945082
0,-0.809,0.588,1.2393508075589712
0,-0.707,0.588,1.237138235231169
0,-0.588,0.588,1.237584015523249
0,-0.454,0.588,1.2377397761606308
0,-0.309,0.588,1.2399096007535222
0,-0.156,0.588,1.2408879104377257
0,0.0,0.588,1.2416187709721753
0,0.156,0.588,1.245694520839377
0,0.309,0.588,1.2449207346904807
0,0.454,0.588,1.2433551907493017
0,0.588,0.588,1.243642314677167
0,0.707,0.588,1.248481492548842
0,0.809,0.588,1.2445221383536698
0,0.891,0.588,1.2471745351120802
0,0.951,0.588,1.2448480677675209
0,0.988,0.588,1.249393836993637
0,1.0,0.588,1.2463581430308905
